,0,1
0,1100167914869657600,
1,1100168751926988800,http://pbs.twimg.com/ext_tw_video_thumb/1100168549413384192/pu/img/Nu9oOhPHtnAELftN.jpg
2,1100173096596713472,
3,1100164315905175552,
4,1100179284952604672,
5,1100168503586369536,
6,1100168224996581376,
7,1100179928711155712,http://pbs.twimg.com/media/D0SUcQ4XcAIF4HW.png
8,1100177029566267392,http://pbs.twimg.com/media/D0ScIlHWoAU5vrU.jpg
9,1100164170807414784,
10,1100162788478066688,
11,1100179920301498368,http://pbs.twimg.com/ext_tw_video_thumb/1100179797542612992/pu/img/s4oNu3NN0M6dfP-x.jpg
12,1100169371295645696,http://pbs.twimg.com/media/D0SWNCwXgAYHVVG.jpg
13,1100179098612174848,
14,1100168749267775488,http://pbs.twimg.com/ext_tw_video_thumb/1100167916748767232/pu/img/VqHs3tPHJVTZmkkE.jpg
15,1100179426543841280,
16,1100180786383388672,
17,1100170990838001664,
18,1100169587998539776,
19,1100163179147980800,
20,1100167969274032128,
21,1100166010383015936,http://pbs.twimg.com/media/D0STJQkX4AMM7EL.jpg
22,1100163095928946688,
23,1100172653887926272,
24,1100173860547248128,
25,1100179045340364800,
26,1100177391186522112,
27,1100171850502598656,
28,1100163809426239488,
29,1100175910508982272,http://pbs.twimg.com/media/D0ScJ55UwAAvGow.jpg
30,1100173546117103616,http://pbs.twimg.com/media/D0Q1Wn9XcAAOZiJ.jpg
31,1100172987481890816,
32,1100178225290989568,
33,1100173790976319488,
34,1100162843641593856,
35,1100182408408616960,
36,1100173872358457344,
37,1100166048089886720,
38,1100168305837510656,
39,1100169058828324864,
40,1100163530144210944,
41,1100173491784040448,
42,1100182272467185664,
43,1100176394552782848,http://pbs.twimg.com/media/D0SclyWX4AIhUVM.jpg
44,1100178558926946304,
45,1100173616682016768,http://pbs.twimg.com/media/D0SZ1mPWwAAjWgP.png
46,1100162983538425856,http://pbs.twimg.com/media/DwJe-vPUcAA_XRp.jpg
47,1100168940645466112,
48,1100180161880879104,
49,1100174615601655808,
50,1100162382817456128,http://pbs.twimg.com/media/D0SP2uYWwAAKz98.jpg
51,1100167421409792000,
52,1100171170027110400,
53,1100171353100042240,http://pbs.twimg.com/media/D0SYAH4X0AEwH51.jpg
54,1100171834757066752,http://pbs.twimg.com/media/D0QzfRkWsAEfT9f.jpg
55,1100144218121650176,http://pbs.twimg.com/media/D0R_UylWoAIvVc2.jpg
56,1100151940028223488,
57,1100144406802427904,
58,1100149237751447552,http://pbs.twimg.com/media/D0SD107WoAU1l_f.jpg
59,1100155468352274432,http://pbs.twimg.com/media/D0SJjXkWwAAstPl.jpg
60,1100155282867531776,
61,1100149960962686976,
62,1100159422326808576,
63,1100150748812402688,
64,1100151213516042240,
65,1100142783598346240,
66,1100161132864724992,
67,1100147034387042304,
68,1100143028700938240,
69,1100161077223059456,
70,1100143152948744192,
71,1100158883656597504,http://pbs.twimg.com/media/D0KyHZlWsAAWid-.jpg
72,1100149006041300992,
73,1100158490323111936,http://pbs.twimg.com/media/D0SMUPIWoAARZVs.jpg
74,1100146239083995136,
75,1100160308046372864,
76,1100155620102160384,
77,1100160323686883328,http://pbs.twimg.com/media/D0SN-q0UUAAnblx.jpg
78,1100156081593114624,http://pbs.twimg.com/media/D0QztR2X4AEdHNp.jpg
79,1100155319664164864,
80,1100154562281959424,http://pbs.twimg.com/media/D0SIq7qX0AAcHFq.jpg
81,1100155057293672448,
82,1100148874805690368,http://pbs.twimg.com/ext_tw_video_thumb/1100148663798640640/pu/img/Sg3cD5VJ6f1vBI8M.jpg
83,1100156028698664960,
84,1100151247863189504,http://pbs.twimg.com/media/D0SFrViWkAIi73M.jpg
85,1100143515240226816,
86,1100161612986662912,
87,1100148430922498048,http://pbs.twimg.com/media/D0RtysSWoAAVYuc.jpg
88,1100161958580494336,
89,1100156289877925888,http://pbs.twimg.com/ext_tw_video_thumb/1100155287699218432/pu/img/PRg3JdzO4Au9uHwA.jpg
